cuda:0
Epoch [37/50], Validation Loss: 0.6571, Validation Accuracy: 67.65%, Accuracy per Class: [0.58823529 0.76470588], Precision: 0.6500, Recall: 0.7647, F1 Score: 0.7027
Epoch [38/50], Validation Loss: 0.6462, Validation Accuracy: 64.71%, Accuracy per Class: [0.47058824 0.82352941], Precision: 0.6087, Recall: 0.8235, F1 Score: 0.7000
Epoch [39/50], Validation Loss: 0.6370, Validation Accuracy: 61.76%, Accuracy per Class: [0.29411765 0.94117647], Precision: 0.5714, Recall: 0.9412, F1 Score: 0.7111
Epoch [40/50], Validation Loss: 0.6445, Validation Accuracy: 64.71%, Accuracy per Class: [0.47058824 0.82352941], Precision: 0.6087, Recall: 0.8235, F1 Score: 0.7000
Epoch [41/50], Validation Loss: 0.6420, Validation Accuracy: 64.71%, Accuracy per Class: [0.47058824 0.82352941], Precision: 0.6087, Recall: 0.8235, F1 Score: 0.7000
Epoch [42/50], Validation Loss: 0.6500, Validation Accuracy: 67.65%, Accuracy per Class: [0.58823529 0.76470588], Precision: 0.6500, Recall: 0.7647, F1 Score: 0.7027
Epoch [43/50], Validation Loss: 0.6601, Validation Accuracy: 64.71%, Accuracy per Class: [0.58823529 0.70588235], Precision: 0.6316, Recall: 0.7059, F1 Score: 0.6667
Epoch [44/50], Validation Loss: 0.6553, Validation Accuracy: 67.65%, Accuracy per Class: [0.58823529 0.76470588], Precision: 0.6500, Recall: 0.7647, F1 Score: 0.7027
Epoch [45/50], Validation Loss: 0.6699, Validation Accuracy: 67.65%, Accuracy per Class: [0.64705882 0.70588235], Precision: 0.6667, Recall: 0.7059, F1 Score: 0.6857
Epoch [46/50], Validation Loss: 0.6872, Validation Accuracy: 79.41%, Accuracy per Class: [0.94117647 0.64705882], Precision: 0.9167, Recall: 0.6471, F1 Score: 0.7586
Epoch [47/50], Validation Loss: 0.7023, Validation Accuracy: 73.53%, Accuracy per Class: [0.94117647 0.52941176], Precision: 0.9000, Recall: 0.5294, F1 Score: 0.6667
Epoch [48/50], Validation Loss: 0.7111, Validation Accuracy: 73.53%, Accuracy per Class: [0.94117647 0.52941176], Precision: 0.9000, Recall: 0.5294, F1 Score: 0.6667
Epoch [49/50], Validation Loss: 0.6925, Validation Accuracy: 76.47%, Accuracy per Class: [0.94117647 0.58823529], Precision: 0.9091, Recall: 0.5882, F1 Score: 0.7143
Epoch [50/50], Validation Loss: 0.6817, Validation Accuracy: 79.41%, Accuracy per Class: [0.88235294 0.70588235], Precision: 0.8571, Recall: 0.7059, F1 Score: 0.7742
AUC: 0.6895
Test Loss: 0.6276, Test Accuracy: 65.71%, Accuracy per Class: [0.76470588 0.55555556], Precision: 0.7143, Recall: 0.5556, F1 Score: 0.6250
