cuda:0
Epoch [36/50], Validation Loss: 0.3886, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [37/50], Validation Loss: 0.3840, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [38/50], Validation Loss: 0.3829, Validation Accuracy: 85.51%, Accuracy per Class: [0.88888889 0.79166667], Precision: 0.7917, Recall: 0.7917, F1 Score: 0.7917
Epoch [39/50], Validation Loss: 0.3861, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [40/50], Validation Loss: 0.3920, Validation Accuracy: 82.61%, Accuracy per Class: [0.82222222 0.83333333], Precision: 0.7143, Recall: 0.8333, F1 Score: 0.7692
Epoch [41/50], Validation Loss: 0.3994, Validation Accuracy: 82.61%, Accuracy per Class: [0.8   0.875], Precision: 0.7000, Recall: 0.8750, F1 Score: 0.7778
Epoch [42/50], Validation Loss: 0.3816, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [43/50], Validation Loss: 0.3776, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [44/50], Validation Loss: 0.3818, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [45/50], Validation Loss: 0.3877, Validation Accuracy: 82.61%, Accuracy per Class: [0.82222222 0.83333333], Precision: 0.7143, Recall: 0.8333, F1 Score: 0.7692
Epoch [46/50], Validation Loss: 0.3884, Validation Accuracy: 82.61%, Accuracy per Class: [0.82222222 0.83333333], Precision: 0.7143, Recall: 0.8333, F1 Score: 0.7692
Epoch [47/50], Validation Loss: 0.3783, Validation Accuracy: 81.16%, Accuracy per Class: [0.8        0.83333333], Precision: 0.6897, Recall: 0.8333, F1 Score: 0.7547
Epoch [48/50], Validation Loss: 0.3647, Validation Accuracy: 88.41%, Accuracy per Class: [0.93333333 0.79166667], Precision: 0.8636, Recall: 0.7917, F1 Score: 0.8261
Epoch [49/50], Validation Loss: 0.3716, Validation Accuracy: 86.96%, Accuracy per Class: [0.91111111 0.79166667], Precision: 0.8261, Recall: 0.7917, F1 Score: 0.8085
Epoch [50/50], Validation Loss: 0.3731, Validation Accuracy: 85.51%, Accuracy per Class: [0.88888889 0.79166667], Precision: 0.7917, Recall: 0.7917, F1 Score: 0.7917
AUC: 0.9017
Test Loss: 0.4096, Test Accuracy: 81.16%, Accuracy per Class: [0.85714286 0.76470588], Precision: 0.8387, Recall: 0.7647, F1 Score: 0.8000
