False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.029411764705882353,0.9491509
0.0,0.35294117647058826,0.77116865
0.02857142857142857,0.35294117647058826,0.7536821
0.02857142857142857,0.38235294117647056,0.7524899
0.08571428571428572,0.38235294117647056,0.712905
0.08571428571428572,0.5588235294117647,0.64093333
0.11428571428571428,0.5588235294117647,0.61173713
0.11428571428571428,0.7058823529411765,0.54322654
0.14285714285714285,0.7058823529411765,0.5381641
0.14285714285714285,0.8529411764705882,0.45950446
0.17142857142857143,0.8529411764705882,0.3800825
0.17142857142857143,0.9117647058823529,0.36748433
0.22857142857142856,0.9117647058823529,0.33446565
0.22857142857142856,0.9411764705882353,0.3304586
0.2857142857142857,0.9411764705882353,0.30833432
0.2857142857142857,0.9705882352941176,0.26895604
0.6571428571428571,0.9705882352941176,0.15452778
0.6571428571428571,1.0,0.15263888
1.0,1.0,0.029159503
