cuda:0
Epoch [36/50], Validation Loss: 0.5378, Validation Accuracy: 73.53%, Accuracy per Class: [0.85714286 0.53846154], Precision: 0.7000, Recall: 0.5385, F1 Score: 0.6087
Epoch [37/50], Validation Loss: 0.5617, Validation Accuracy: 70.59%, Accuracy per Class: [0.80952381 0.53846154], Precision: 0.6364, Recall: 0.5385, F1 Score: 0.5833
Epoch [38/50], Validation Loss: 0.5581, Validation Accuracy: 70.59%, Accuracy per Class: [0.80952381 0.53846154], Precision: 0.6364, Recall: 0.5385, F1 Score: 0.5833
Epoch [39/50], Validation Loss: 0.5392, Validation Accuracy: 73.53%, Accuracy per Class: [0.85714286 0.53846154], Precision: 0.7000, Recall: 0.5385, F1 Score: 0.6087
Epoch [40/50], Validation Loss: 0.5353, Validation Accuracy: 73.53%, Accuracy per Class: [0.85714286 0.53846154], Precision: 0.7000, Recall: 0.5385, F1 Score: 0.6087
Epoch [41/50], Validation Loss: 0.5306, Validation Accuracy: 79.41%, Accuracy per Class: [0.95238095 0.53846154], Precision: 0.8750, Recall: 0.5385, F1 Score: 0.6667
Epoch [42/50], Validation Loss: 0.5464, Validation Accuracy: 73.53%, Accuracy per Class: [0.80952381 0.61538462], Precision: 0.6667, Recall: 0.6154, F1 Score: 0.6400
Epoch [43/50], Validation Loss: 0.6015, Validation Accuracy: 73.53%, Accuracy per Class: [0.66666667 0.84615385], Precision: 0.6111, Recall: 0.8462, F1 Score: 0.7097
Epoch [44/50], Validation Loss: 0.6826, Validation Accuracy: 64.71%, Accuracy per Class: [0.47619048 0.92307692], Precision: 0.5217, Recall: 0.9231, F1 Score: 0.6667
Epoch [45/50], Validation Loss: 0.5720, Validation Accuracy: 70.59%, Accuracy per Class: [0.66666667 0.76923077], Precision: 0.5882, Recall: 0.7692, F1 Score: 0.6667
Epoch [46/50], Validation Loss: 0.5116, Validation Accuracy: 76.47%, Accuracy per Class: [0.85714286 0.61538462], Precision: 0.7273, Recall: 0.6154, F1 Score: 0.6667
Epoch [47/50], Validation Loss: 0.5008, Validation Accuracy: 76.47%, Accuracy per Class: [0.9047619  0.53846154], Precision: 0.7778, Recall: 0.5385, F1 Score: 0.6364
Epoch [48/50], Validation Loss: 0.5060, Validation Accuracy: 73.53%, Accuracy per Class: [0.80952381 0.61538462], Precision: 0.6667, Recall: 0.6154, F1 Score: 0.6400
Epoch [49/50], Validation Loss: 0.5324, Validation Accuracy: 73.53%, Accuracy per Class: [0.80952381 0.61538462], Precision: 0.6667, Recall: 0.6154, F1 Score: 0.6400
Epoch [50/50], Validation Loss: 0.4996, Validation Accuracy: 76.47%, Accuracy per Class: [0.9047619  0.53846154], Precision: 0.7778, Recall: 0.5385, F1 Score: 0.6364
AUC: 0.9400
tensor(1)
Test Loss: 0.3593, Test Accuracy: 74.29%, Accuracy per Class: [0.9        0.53333333], Precision: 0.8000, Recall: 0.5333, F1 Score: 0.6400
