False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.05555555555555555,0.635735
0.0,0.2222222222222222,0.6034519
0.058823529411764705,0.2222222222222222,0.5810722
0.058823529411764705,0.3333333333333333,0.57714957
0.11764705882352941,0.3333333333333333,0.57242376
0.11764705882352941,0.5,0.52915645
0.23529411764705882,0.5,0.5082041
0.23529411764705882,0.5555555555555556,0.5006527
0.29411764705882354,0.5555555555555556,0.4989294
0.29411764705882354,0.6111111111111112,0.48497358
0.4117647058823529,0.6111111111111112,0.47368234
0.4117647058823529,0.6666666666666666,0.4717349
0.5294117647058824,0.6666666666666666,0.4673473
0.5294117647058824,0.7777777777777778,0.4543051
0.6470588235294118,0.7777777777777778,0.44092387
0.6470588235294118,0.8333333333333334,0.43744448
0.7058823529411765,0.8333333333333334,0.42992294
0.7058823529411765,0.8888888888888888,0.42833713
0.7647058823529411,0.8888888888888888,0.41489553
0.7647058823529411,0.9444444444444444,0.40384877
1.0,0.9444444444444444,0.38056466
1.0,1.0,0.36788166
