cuda:0
Epoch [36/50], Validation Loss: 0.0609, Validation Accuracy: 98.55%, Accuracy per Class: [0.98966408 0.98019802], Precision: 0.9867, Recall: 0.9802, F1 Score: 0.9834
Epoch [37/50], Validation Loss: 0.0620, Validation Accuracy: 98.55%, Accuracy per Class: [0.98966408 0.98019802], Precision: 0.9867, Recall: 0.9802, F1 Score: 0.9834
Epoch [38/50], Validation Loss: 0.0853, Validation Accuracy: 97.54%, Accuracy per Class: [0.98966408 0.95709571], Precision: 0.9864, Recall: 0.9571, F1 Score: 0.9715
Epoch [39/50], Validation Loss: 0.0713, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
Epoch [40/50], Validation Loss: 0.0658, Validation Accuracy: 98.12%, Accuracy per Class: [0.98966408 0.97029703], Precision: 0.9866, Recall: 0.9703, F1 Score: 0.9784
Epoch [41/50], Validation Loss: 0.0725, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
Epoch [42/50], Validation Loss: 0.0790, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
Epoch [43/50], Validation Loss: 0.0734, Validation Accuracy: 97.97%, Accuracy per Class: [0.98966408 0.9669967 ], Precision: 0.9865, Recall: 0.9670, F1 Score: 0.9767
Epoch [44/50], Validation Loss: 0.0649, Validation Accuracy: 98.26%, Accuracy per Class: [0.98191214 0.98349835], Precision: 0.9770, Recall: 0.9835, F1 Score: 0.9803
Epoch [45/50], Validation Loss: 0.0783, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
Epoch [46/50], Validation Loss: 0.0718, Validation Accuracy: 97.83%, Accuracy per Class: [0.98966408 0.96369637], Precision: 0.9865, Recall: 0.9637, F1 Score: 0.9750
Epoch [47/50], Validation Loss: 0.1020, Validation Accuracy: 97.83%, Accuracy per Class: [0.99741602 0.95379538], Precision: 0.9966, Recall: 0.9538, F1 Score: 0.9747
Epoch [48/50], Validation Loss: 0.0741, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
Epoch [49/50], Validation Loss: 0.0829, Validation Accuracy: 97.68%, Accuracy per Class: [0.99224806 0.95709571], Precision: 0.9898, Recall: 0.9571, F1 Score: 0.9732
Epoch [50/50], Validation Loss: 0.0801, Validation Accuracy: 97.68%, Accuracy per Class: [0.98966408 0.96039604], Precision: 0.9864, Recall: 0.9604, F1 Score: 0.9732
AUC: 0.9992
Test Loss: 0.0477, Test Accuracy: 98.41%, Accuracy per Class: [0.98382749 0.98432602], Precision: 0.9812, Recall: 0.9843, F1 Score: 0.9828
