False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.445141065830721,1.0
0.0,0.4890282131661442,0.9999999
0.0,0.5297805642633229,0.99999976
0.0,0.5517241379310345,0.99999964
0.0,0.5768025078369906,0.9999995
0.0,0.5924764890282131,0.9999994
0.0,0.6206896551724138,0.9999989
0.0,0.6394984326018809,0.99999857
0.0,0.6489028213166145,0.99999833
0.0,0.6551724137931034,0.9999982
0.0,0.664576802507837,0.999998
0.0,0.6802507836990596,0.999995
0.0,0.6865203761755486,0.9999949
0.0,0.7053291536050157,0.9999924
0.0,0.7115987460815048,0.99999213
0.0,0.7460815047021944,0.99997425
0.0,0.7523510971786834,0.9999734
0.0,0.7962382445141066,0.99992
0.0,0.8025078369905956,0.9999156
0.0,0.9373040752351097,0.99308634
0.005390835579514825,0.9373040752351097,0.9926272
0.005390835579514825,0.9467084639498433,0.98769623
0.008086253369272238,0.9467084639498433,0.9850004
0.008086253369272238,0.9623824451410659,0.91639644
0.008086253369272238,0.9686520376175548,0.8827066
0.008086253369272238,0.9780564263322884,0.8016409
0.013477088948787063,0.9780564263322884,0.69205284
0.013477088948787063,0.9843260188087775,0.5464524
0.018867924528301886,0.9843260188087775,0.49226588
0.018867924528301886,0.9937304075235109,0.25346437
0.03773584905660377,0.9937304075235109,0.050927334
0.03773584905660377,0.9968652037617555,0.026629835
0.04043126684636118,0.9968652037617555,0.020572763
0.04043126684636118,1.0,0.013198858
0.3557951482479784,1.0,6.420211e-07
0.3611859838274933,1.0,5.3916693e-07
1.0,1.0,3.3680917e-18
