cuda:0
Epoch [35/50], Validation Loss: 0.0772, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [36/50], Validation Loss: 0.0767, Validation Accuracy: 98.55%, Accuracy per Class: [0.98618785 0.9847561 ], Precision: 0.9848, Recall: 0.9848, F1 Score: 0.9848
Epoch [37/50], Validation Loss: 0.0793, Validation Accuracy: 98.12%, Accuracy per Class: [0.97790055 0.9847561 ], Precision: 0.9758, Recall: 0.9848, F1 Score: 0.9803
Epoch [38/50], Validation Loss: 0.0776, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [39/50], Validation Loss: 0.0757, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [40/50], Validation Loss: 0.0778, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [41/50], Validation Loss: 0.0770, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [42/50], Validation Loss: 0.0745, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [43/50], Validation Loss: 0.0754, Validation Accuracy: 98.41%, Accuracy per Class: [0.98618785 0.98170732], Precision: 0.9847, Recall: 0.9817, F1 Score: 0.9832
Epoch [44/50], Validation Loss: 0.0763, Validation Accuracy: 98.41%, Accuracy per Class: [0.98618785 0.98170732], Precision: 0.9847, Recall: 0.9817, F1 Score: 0.9832
Epoch [45/50], Validation Loss: 0.0779, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [46/50], Validation Loss: 0.0830, Validation Accuracy: 98.12%, Accuracy per Class: [0.97790055 0.9847561 ], Precision: 0.9758, Recall: 0.9848, F1 Score: 0.9803
Epoch [47/50], Validation Loss: 0.0768, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [48/50], Validation Loss: 0.0759, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [49/50], Validation Loss: 0.0793, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Epoch [50/50], Validation Loss: 0.0816, Validation Accuracy: 98.41%, Accuracy per Class: [0.98342541 0.9847561 ], Precision: 0.9818, Recall: 0.9848, F1 Score: 0.9833
Test Loss: 0.0437, Test Accuracy: 98.99%, Accuracy per Class: [0.98976982 0.98996656], Precision: 0.9867, Recall: 0.9900, F1 Score: 0.9883
