cuda:0
Epoch [36/50], Validation Loss: 0.1947, Validation Accuracy: 93.77%, Accuracy per Class: [0.96185286 0.91021672], Precision: 0.9545, Recall: 0.9102, F1 Score: 0.9319
Epoch [37/50], Validation Loss: 0.1941, Validation Accuracy: 94.49%, Accuracy per Class: [0.95095368 0.9380805 ], Precision: 0.9439, Recall: 0.9381, F1 Score: 0.9410
Epoch [38/50], Validation Loss: 0.1897, Validation Accuracy: 94.64%, Accuracy per Class: [0.95095368 0.94117647], Precision: 0.9441, Recall: 0.9412, F1 Score: 0.9426
Epoch [39/50], Validation Loss: 0.1896, Validation Accuracy: 94.06%, Accuracy per Class: [0.9373297  0.94427245], Precision: 0.9299, Recall: 0.9443, F1 Score: 0.9370
Epoch [40/50], Validation Loss: 0.1897, Validation Accuracy: 93.91%, Accuracy per Class: [0.92915531 0.9504644 ], Precision: 0.9219, Recall: 0.9505, F1 Score: 0.9360
Epoch [41/50], Validation Loss: 0.1908, Validation Accuracy: 93.91%, Accuracy per Class: [0.95095368 0.92569659], Precision: 0.9432, Recall: 0.9257, F1 Score: 0.9344
Epoch [42/50], Validation Loss: 0.1851, Validation Accuracy: 94.35%, Accuracy per Class: [0.95095368 0.93498452], Precision: 0.9437, Recall: 0.9350, F1 Score: 0.9393
Epoch [43/50], Validation Loss: 0.1865, Validation Accuracy: 94.35%, Accuracy per Class: [0.94277929 0.94427245], Precision: 0.9356, Recall: 0.9443, F1 Score: 0.9399
Epoch [44/50], Validation Loss: 0.1847, Validation Accuracy: 94.20%, Accuracy per Class: [0.96457766 0.91640867], Precision: 0.9579, Recall: 0.9164, F1 Score: 0.9367
Epoch [45/50], Validation Loss: 0.1833, Validation Accuracy: 94.49%, Accuracy per Class: [0.94822888 0.94117647], Precision: 0.9412, Recall: 0.9412, F1 Score: 0.9412
Epoch [46/50], Validation Loss: 0.1824, Validation Accuracy: 94.35%, Accuracy per Class: [0.9400545  0.94736842], Precision: 0.9329, Recall: 0.9474, F1 Score: 0.9401
Epoch [47/50], Validation Loss: 0.1809, Validation Accuracy: 94.20%, Accuracy per Class: [0.9346049 0.9504644], Precision: 0.9275, Recall: 0.9505, F1 Score: 0.9388
Epoch [48/50], Validation Loss: 0.1771, Validation Accuracy: 94.35%, Accuracy per Class: [0.94822888 0.9380805 ], Precision: 0.9410, Recall: 0.9381, F1 Score: 0.9395
Epoch [49/50], Validation Loss: 0.1789, Validation Accuracy: 94.35%, Accuracy per Class: [0.9400545  0.94736842], Precision: 0.9329, Recall: 0.9474, F1 Score: 0.9401
Epoch [50/50], Validation Loss: 0.1764, Validation Accuracy: 94.78%, Accuracy per Class: [0.95640327 0.9380805 ], Precision: 0.9498, Recall: 0.9381, F1 Score: 0.9439

Test Loss: 0.2215, Test Accuracy: 91.74%, Accuracy per Class: [0.92702703 0.90625   ], Precision: 0.9148, Recall: 0.9062, F1 Score: 0.9105
